"","X.casegrowthlag_we","X.casegrowthlag1_we","X.logdiffcases_we","X.casegrowthlag.national_we","X.logdiffcases.national_we","X.difflogtests_we","X.percentage_age_we","X.Density_we","X.population_we","X.schoolClosing_we","X.restGatherings_we","X.cancEvents_we","X.testingPolicy_we","X.workClosing2a_we","X.grocery_and_pharmacy_we","X.transit_stations_we","X.transactiongrowth_we","X.workplaces_we","X.sre000d0_we","X.tre200d0_we","X.ure200d0_we","X.ferien_we","X.Canton_3","X.oneweek","Y","W"
"1",0.494696241836107,0.775064303027832,2.77258872223978,-0.0727593542824279,-2.30258509299405,0.166888879360052,5.11338390250095,5259.653781,495200,1,1,1,3,1,3.97971428571429,-11.3262857142857,-0.0272428716917101,-16.9998571428571,768.285714285714,21.2857142857143,53.8714285714286,0,2,20,0.966684745625562,0
"2",0.775064303027832,0.966684745625562,3.87120101090789,0.117083979353885,4.36944785246702,0.134086289360722,5.11338390250095,5259.653781,495200,1,1,1,3,1,1.87742857142857,-14.2652857142857,-0.0423275010010524,-20.8365714285714,447.142857142857,20.1142857142857,57.5428571428571,0,2,21,0.309869987427143,0
"3",0.966684745625562,0.309869987427143,4.97673374242057,0.14431223082697,4.70953020131233,0.128516896610295,5.11338390250095,5259.653781,495200,1,1,1,3,1,-0.265285714285714,-14.898,-0.0276039511165624,-24.1838571428571,552.571428571429,22.8,59.8714285714286,0,2,22,-0.251762356619862,0
"4",0.309869987427143,-0.251762356619862,4.44265125649032,0.335260849434916,5.79605775076537,0.156232982428554,5.11338390250095,5259.653781,495200,1,1,1,3,1,-1.10185714285714,-15.5508571428571,-0.101950259583734,-29.0001428571429,612.142857142857,25.6142857142857,56.6285714285714,0,2,23,0.0738199122352672,0
"5",-0.251762356619862,0.0738199122352672,-2.30258509299405,-0.0487901641694322,-2.30258509299405,0.139919341043639,5.11338390250095,5259.653781,495200,1,1,1,3,1,-4.20414285714286,-17.9388571428571,0.0639252022443841,-31.7144285714286,624.714285714286,20.4142857142857,66.9571428571429,0,2,24,-0.14051128673394,0
"6",0.0738199122352672,-0.14051128673394,2.94443897916644,0.358309970190887,6.16120732169508,0.103091507226585,5.11338390250095,5259.653781,495200,1,1,1,3,1,-0.449142857142857,-12.9594285714286,0.014662268575778,-24.102,474.571428571429,22.8285714285714,68.6714285714286,0,2,25,0.280110375920887,0
"7",-0.14051128673394,0.280110375920887,-2.30258509299405,0.164264546064187,5.63835466933375,0.100787437284371,5.11338390250095,5259.653781,495200,1,1,1,3,1,-0.816142857142857,-12.2857142857143,0.0642941791483249,-19.796,524.285714285714,22.8285714285714,60.4714285714286,0,2,26,0.0722449068733289,0
"8",0.280110375920887,0.0722449068733289,4.31748811353631,0.120235850143278,5.46806014113513,0.101561483102525,5.11338390250095,5259.653781,495200,1,1,1,3,1,-0.612285714285714,-11.9998571428571,0.08968054390734,-17.4081428571429,310.571428571429,18.8,64.7857142857143,0,2,27,0.047346120597199,0
"9",0.0722449068733289,0.047346120597199,3.13549421592915,0.160820547336366,5.89989735358249,0.114300834871228,5.11338390250095,5259.653781,495200,1,1,1,3,1,-2.97971428571429,-15.5714285714286,-0.0287610219454724,-18.143,522.428571428571,17.7,67.4142857142857,0,2,28,0.186647446741077,0
"10",0.047346120597199,0.186647446741077,2.77258872223978,0.151880531292719,5.99893656194668,0.121360718580819,5.11338390250095,5259.653781,495200,1,1,1,3,1,-1.898,-10.9184285714286,-0.142725475418759,-17.612,603.142857142857,18.9,68.7714285714286,0,2,29,-0.246188840432094,0
"11",0.186647446741077,-0.246188840432094,4.26267987704132,0.0159559403163296,3.8286413964891,0.124112400831546,5.11338390250095,5259.653781,495200,1,1,1,2.57142857142857,1,-1.36757142857143,-8.53071428571429,0.134281464085216,-15.2855714285714,500.857142857143,20.7,73.9571428571429,0,2,30,0.2768878273209,0
"12",-0.246188840432094,0.2768878273209,-2.30258509299405,-0.268369873930652,-2.30258509299405,0.101063935509897,5.11338390250095,5259.653781,495200,1,1,1,2,1,-3.12257142857143,-12.5101428571429,0.0299328112558364,-16.1837142857143,180.571428571429,14.2142857142857,79.2142857142857,0,2,31,0.88222878241162,0
"13",0.2768878273209,0.88222878241162,4.64439089914137,0.443438765536579,7.12286665859908,0.0799927669007783,5.11338390250095,5259.653781,495200,1,0.428571428571429,1,2,1,-2.73457142857143,-15.5712857142857,0.0299572630284697,-16.5712857142857,83.4285714285714,11.2857142857143,84.6428571428571,0,2,32,0.693147180559945,0
"14",0.88222878241162,0.693147180559945,6.4118182677099,0.927550041996282,8.57376254290413,0.0882963932963179,5.11338390250095,5259.653781,495200,1,0,1,2,1,-3.38771428571429,-16.6937142857143,-0.0133695675490131,-18.5511428571429,186.714285714286,11.2428571428571,79.9285714285714,0,2,33,0.799421619175154,0
"15",0.693147180559945,0.799421619175154,6.94601399109923,0.800094463598464,9.28070563463675,0.112082729560896,5.11338390250095,5259.653781,495200,1,1.42857142857143,1,2,1,-4.20385714285714,-19.7141428571429,-0.0271786172175243,-18.5102857142857,142.428571428571,8.71428571428571,75.3,0,2,34,0.455538850547887,0.714285714285714
"16",-0.0444517625708336,0.117783035656383,-2.30258509299405,-0.0727593542824279,-2.30258509299405,0.163069608077583,4.76451314001525,2669.154977,793100,1,1,1,3,1,3.97971428571429,-11.3262857142857,-0.0578646273456513,-16.9998571428571,681.3,18.9614285714286,59.6128571428571,0,4,20,-0.264386509848259,0
