"X.median_R_mean.lag_we","X.median_R_mean.lag1_we","X.percentage_age_we","X.Density_we","X.population_we","X.schoolClosing_we","X.restGatherings_we","X.cancEvents_we","X.testingPolicy_we","X.workClosing2a_we","X.grocery_and_pharmacy_we","X.transit_stations_we","X.transactiongrowth_we","X.workplaces_we","X.sre000d0_we","X.tre200d0_we","X.ure200d0_we","X.ferien_we","X.Canton_3","X.oneweek","Y","W"
1.32857142857143,1.52285714285714,5.11338390250095,5259.653781,495200,1,1,1,3,1,3.97971428571429,-11.3262857142857,-0.0272428716917101,-16.9998571428571,768.285714285714,21.2857142857143,53.8714285714286,0,2,20,1.70857142857143,0
1.37142857142857,1.70857142857143,5.11338390250095,5259.653781,495200,1,1,1,3,1,1.87742857142857,-14.2652857142857,-0.0423275010010524,-20.8365714285714,447.142857142857,20.1142857142857,57.5428571428571,0,2,21,1.63428571428571,0
1.52285714285714,1.63428571428571,5.11338390250095,5259.653781,495200,1,1,1,3,1,-0.265285714285714,-14.898,-0.0276039511165624,-24.1838571428571,552.571428571429,22.8,59.8714285714286,0,2,22,1.14571428571429,0
1.70857142857143,1.14571428571429,5.11338390250095,5259.653781,495200,1,1,1,3,1,-1.10185714285714,-15.5508571428571,-0.101950259583734,-29.0001428571429,612.142857142857,25.6142857142857,56.6285714285714,0,2,23,0.951428571428571,0
1.63428571428571,0.951428571428571,5.11338390250095,5259.653781,495200,1,1,1,3,1,-4.20414285714286,-17.9388571428571,0.0639252022443841,-31.7144285714286,624.714285714286,20.4142857142857,66.9571428571429,0,2,24,0.917142857142857,0
1.14571428571429,0.917142857142857,5.11338390250095,5259.653781,495200,1,1,1,3,1,-0.449142857142857,-12.9594285714286,0.014662268575778,-24.102,474.571428571429,22.8285714285714,68.6714285714286,0,2,25,0.948571428571429,0
0.951428571428571,0.948571428571429,5.11338390250095,5259.653781,495200,1,1,1,3,1,-0.816142857142857,-12.2857142857143,0.0642941791483249,-19.796,524.285714285714,22.8285714285714,60.4714285714286,0,2,26,1.19,0
0.917142857142857,1.19,5.11338390250095,5259.653781,495200,1,1,1,3,1,-0.612285714285714,-11.9998571428571,0.08968054390734,-17.4081428571429,310.571428571429,18.8,64.7857142857143,0,2,27,1.12571428571429,0
0.948571428571429,1.12571428571429,5.11338390250095,5259.653781,495200,1,1,1,3,1,-2.97971428571429,-15.5714285714286,-0.0287610219454724,-18.143,522.428571428571,17.7,67.4142857142857,0,2,28,1.03857142857143,0
1.19,1.03857142857143,5.11338390250095,5259.653781,495200,1,1,1,3,1,-1.898,-10.9184285714286,-0.142725475418759,-17.612,603.142857142857,18.9,68.7714285714286,0,2,29,1.02,0
1.12571428571429,1.02,5.11338390250095,5259.653781,495200,1,1,1,2.57142857142857,1,-1.36757142857143,-8.53071428571429,0.134281464085216,-15.2855714285714,500.857142857143,20.7,73.9571428571429,0,2,30,0.937142857142857,0
1.03857142857143,0.937142857142857,5.11338390250095,5259.653781,495200,1,1,1,2,1,-3.12257142857143,-12.5101428571429,0.0299328112558364,-16.1837142857143,180.571428571429,14.2142857142857,79.2142857142857,0,2,31,1.3,0
1.02,1.3,5.11338390250095,5259.653781,495200,1,0.428571428571429,1,2,1,-2.73457142857143,-15.5712857142857,0.0299572630284697,-16.5712857142857,83.4285714285714,11.2857142857143,84.6428571428571,0,2,32,1.70285714285714,0
0.937142857142857,1.70285714285714,5.11338390250095,5259.653781,495200,1,0,1,2,1,-3.38771428571429,-16.6937142857143,-0.0133695675490131,-18.5511428571429,186.714285714286,11.2428571428571,79.9285714285714,0,2,33,1.65142857142857,0
1.3,1.65142857142857,5.11338390250095,5259.653781,495200,1,1.42857142857143,1,2,1,-4.20385714285714,-19.7141428571429,-0.0271786172175243,-18.5102857142857,142.428571428571,8.71428571428571,75.3,0,2,34,1.56857142857143,0.714285714285714
1.70285714285714,1.56857142857143,5.11338390250095,5259.653781,495200,1,3,1,2,1,-3.69371428571429,-21.0817142857143,-0.120180790868114,-17.8365714285714,189,11.0142857142857,84,0.714285714285714,2,35,1.21428571428571,1
1.65142857142857,1.21428571428571,5.11338390250095,5259.653781,495200,1,3,1.57142857142857,2,1.71428571428571,-2.34714285714286,-24.0407142857143,0.0908609885083429,-17.5714285714286,150.142857142857,9.48571428571429,88.1142857142857,0,2,36,1.00142857142857,1
1.56857142857143,1.00142857142857,5.11338390250095,5259.653781,495200,2,4,2,2,3,-3.93885714285714,-28.1837142857143,-0.209664073097018,-19.1428571428571,61.5714285714286,10.3,81.9,0,2,37,0.752857142857143,1
1.21428571428571,0.752857142857143,5.11338390250095,5259.653781,495200,2,4,2,2,3,-3.51,-28.1225714285714,-0.089212792486375,-19.9184285714286,197.857142857143,8.4,90.1428571428571,0,2,38,0.592857142857143,1
1.00142857142857,0.592857142857143,5.11338390250095,5259.653781,495200,2,4,2,2,3,-2.87728571428571,-27.2448571428571,0.0235537411486941,-18.7142857142857,301.428571428571,5.41428571428571,80.8571428571429,0,2,39,0.725714285714286,1
0.752857142857143,0.725714285714286,5.11338390250095,5259.653781,495200,2,4,2,2,3,-2.16314285714286,-28.5101428571429,0.115833932731551,-18.0001428571429,74.5714285714286,3.35714285714286,88.0571428571429,0,2,40,0.875714285714286,1
0.592857142857143,0.875714285714286,5.11338390250095,5259.653781,495200,2,4,2,2,3,0.122428571428571,-28.3674285714286,0.185570080633541,-16.592,71.7142857142857,2.65714285714286,82.5,0,2,41,0.952857142857143,1
0.725714285714286,0.952857142857143,5.11338390250095,5259.653781,495200,2,4,2,2,2.42857142857143,-2.245,-29.3675714285714,0.0532877713583293,-18.1227142857143,143.285714285714,2.52857142857143,86.5285714285714,0,2,42,1.01428571428571,1
0.875714285714286,1.01428571428571,5.11338390250095,5259.653781,495200,2,4,2,2,2,-2.95914285714286,-28.4081428571429,0.0737438973700364,-16.6124285714286,18.1428571428571,5.38571428571429,94.2428571428571,0,2,43,0.95,1
1.40428571428571,1.11428571428571,4.76451314001525,2669.154977,793100,1,1,1,3,1,3.97971428571429,-11.3262857142857,-0.0578646273456513,-16.9998571428571,681.3,18.9614285714286,59.6128571428571,0,4,20,0.991428571428571,0
1.26714285714286,0.991428571428571,4.76451314001525,2669.154977,793100,1,1,1,3,1,1.87742857142857,-14.2652857142857,-0.0550533249101495,-20.8365714285714,424.871428571429,17.8085714285714,64.9742857142857,0,4,21,1.06285714285714,0
1.11428571428571,1.06285714285714,4.76451314001525,2669.154977,793100,1,1,1,3,1,-0.265285714285714,-14.898,-0.0107739317597542,-24.1838571428571,500.971428571429,20.4985714285714,63.6642857142857,0,4,22,1.27571428571429,0
0.991428571428571,1.27571428571429,4.76451314001525,2669.154977,793100,1,1,1,3,1,-1.10185714285714,-15.5508571428571,-0.0763613319345371,-29.0001428571429,578.328571428571,23.0071428571429,61.9528571428571,0,4,23,0.987142857142857,0
1.06285714285714,0.987142857142857,4.76451314001525,2669.154977,793100,1,1,1,3,1,-4.20414285714286,-17.9388571428571,0.0793807818370222,-31.7144285714286,579.842857142857,18.5457142857143,70.8814285714286,0,4,24,1.24,0
1.27571428571429,1.24,4.76451314001525,2669.154977,793100,1,1,1,3,1,-0.449142857142857,-12.9594285714286,0.00864201035935785,-24.102,436.871428571429,20.9128571428571,72.2328571428571,0,4,25,1.44714285714286,0
